piece,leather,ub
SS ANCHOR,L0696160,0
SS FLOATING SOLID GLUE FILLER,L0696160,10
BACK HANDLE TOP,L0696162,15
BACK SLASH POCKET INTERIOR PATCH,L0696162,5
BACK SNAP PATCH,L0696162,3
BACK WRAP SNAP,L0696162,26
BOTTOM,L0696162,17
FLAP FACING SNAP PATCH,L0696162,6
FLAP TOP,L0696162,9
FLAP TOP BIDNING,L0696162,9
FRONT HANDLE TOP,L0696162,18
FRONT RIGHT ANCHOR TOP,L0696162,1
FRONT WRAP SNAP,L0696162,39
GUSSET,L0696162,23
GUSSET LEFT RIGHT ANCHOR,L0696162,1
HANDLE LEFT FACING,L0696162,22
HANDLE RIGHT FACING,L0696162,21
HANGTAG FACING,L0696162,6
HANGTAG TOP,L0696162,6
LONG SS MOOR KEEPER,L0696162,5
SHORT SS D RING ANCHOR,L0696162,7
SS ANCHOR,L0696162,0
SS FLOATING SOLID GLUE FILLER,L0696162,10
BACK HANDLE TOP,L0696164,15
BACK SLASH POCKET INTERIOR PATCH,L0696164,5
BACK SNAP PATCH,L0696164,3
BACK WRAP SNAP,L0696164,26
BOTTOM,L0696164,17
FLAP FACING SNAP PATCH,L0696164,6
FLAP TOP,L0696164,9
FLAP TOP BIDNING,L0696164,9
FRONT HANDLE TOP,L0696164,18
FRONT RIGHT ANCHOR TOP,L0696164,1
FRONT WRAP SNAP,L0696164,39
GUSSET,L0696164,23
GUSSET LEFT RIGHT ANCHOR,L0696164,1
HANDLE LEFT FACING,L0696164,22
HANDLE RIGHT FACING,L0696164,21
HANGTAG FACING,L0696164,6
HANGTAG TOP,L0696164,6
LONG SS MOOR KEEPER,L0696164,5
SHORT SS D RING ANCHOR,L0696164,7
SS ANCHOR,L0696164,0
SS FLOATING SOLID GLUE FILLER,L0696164,10
BACK HANDLE TOP,L0696166,15
BACK SLASH POCKET INTERIOR PATCH,L0696166,5
BACK SNAP PATCH,L0696166,3
BACK WRAP SNAP,L0696166,26
BOTTOM,L0696166,17
FLAP FACING SNAP PATCH,L0696166,6
FLAP TOP,L0696166,9
FLAP TOP BIDNING,L0696166,9
FRONT HANDLE TOP,L0696166,18
FRONT RIGHT ANCHOR TOP,L0696166,1
FRONT WRAP SNAP,L0696166,39
GUSSET,L0696166,23
GUSSET LEFT RIGHT ANCHOR,L0696166,1
HANDLE LEFT FACING,L0696166,22
HANDLE RIGHT FACING,L0696166,21
HANGTAG FACING,L0696166,6
HANGTAG TOP,L0696166,6
LONG SS MOOR KEEPER,L0696166,5
SHORT SS D RING ANCHOR,L0696166,7
SS ANCHOR,L0696166,0
SS FLOATING SOLID GLUE FILLER,L0696166,10
BACK HANDLE TOP,L0696168,15
BACK SLASH POCKET INTERIOR PATCH,L0696168,5
BACK SNAP PATCH,L0696168,3
BACK WRAP SNAP,L0696168,26
BOTTOM,L0696168,17
FLAP FACING SNAP PATCH,L0696168,6
FLAP TOP,L0696168,9
FLAP TOP BIDNING,L0696168,9
FRONT HANDLE TOP,L0696168,18
FRONT RIGHT ANCHOR TOP,L0696168,1
FRONT WRAP SNAP,L0696168,39
GUSSET,L0696168,23
GUSSET LEFT RIGHT ANCHOR,L0696168,1
HANDLE LEFT FACING,L0696168,22
HANDLE RIGHT FACING,L0696168,21
HANGTAG FACING,L0696168,6
HANGTAG TOP,L0696168,6
LONG SS MOOR KEEPER,L0696168,5
SHORT SS D RING ANCHOR,L0696168,7
SS ANCHOR,L0696168,0
SS FLOATING SOLID GLUE FILLER,L0696168,10
BACK HANDLE TOP,L0696170,15
BACK SLASH POCKET INTERIOR PATCH,L0696170,5
BACK SNAP PATCH,L0696170,3
BACK WRAP SNAP,L0696170,26
BOTTOM,L0696170,17
FLAP FACING SNAP PATCH,L0696170,6
FLAP TOP,L0696170,9
FLAP TOP BIDNING,L0696170,9
FRONT HANDLE TOP,L0696170,18
FRONT RIGHT ANCHOR TOP,L0696170,1
FRONT WRAP SNAP,L0696170,39
GUSSET,L0696170,23
GUSSET LEFT RIGHT ANCHOR,L0696170,1
HANDLE LEFT FACING,L0696170,22
HANDLE RIGHT FACING,L0696170,21
HANGTAG FACING,L0696170,6
HANGTAG TOP,L0696170,6
LONG SS MOOR KEEPER,L0696170,5
SHORT SS D RING ANCHOR,L0696170,7
SS ANCHOR,L0696170,0
SS FLOATING SOLID GLUE FILLER,L0696170,10
BACK HANDLE TOP,L0696172,15
BACK SLASH POCKET INTERIOR PATCH,L0696172,5
BACK SNAP PATCH,L0696172,3
BACK WRAP SNAP,L0696172,26
BOTTOM,L0696172,17
FLAP FACING SNAP PATCH,L0696172,6
FLAP TOP,L0696172,9
FLAP TOP BIDNING,L0696172,9
FRONT HANDLE TOP,L0696172,18
FRONT RIGHT ANCHOR TOP,L0696172,1
FRONT WRAP SNAP,L0696172,39
GUSSET,L0696172,23
GUSSET LEFT RIGHT ANCHOR,L0696172,1
HANDLE LEFT FACING,L0696172,22
HANDLE RIGHT FACING,L0696172,21
HANGTAG FACING,L0696172,6
HANGTAG TOP,L0696172,6
LONG SS MOOR KEEPER,L0696172,5
SHORT SS D RING ANCHOR,L0696172,7
SS ANCHOR,L0696172,0
SS FLOATING SOLID GLUE FILLER,L0696172,10
BACK HANDLE TOP,L0696174,15
BACK SLASH POCKET INTERIOR PATCH,L0696174,5
BACK SNAP PATCH,L0696174,3
BACK WRAP SNAP,L0696174,26
BOTTOM,L0696174,17
FLAP FACING SNAP PATCH,L0696174,6
FLAP TOP,L0696174,9
FLAP TOP BIDNING,L0696174,9
FRONT HANDLE TOP,L0696174,18
FRONT RIGHT ANCHOR TOP,L0696174,1
FRONT WRAP SNAP,L0696174,39
GUSSET,L0696174,23
GUSSET LEFT RIGHT ANCHOR,L0696174,1
HANDLE LEFT FACING,L0696174,22
HANDLE RIGHT FACING,L0696174,21
HANGTAG FACING,L0696174,6
HANGTAG TOP,L0696174,6
LONG SS MOOR KEEPER,L0696174,5
SHORT SS D RING ANCHOR,L0696174,7
SS ANCHOR,L0696174,0
SS FLOATING SOLID GLUE FILLER,L0696174,10
BACK HANDLE TOP,L0696176,15
BACK SLASH POCKET INTERIOR PATCH,L0696176,5
BACK SNAP PATCH,L0696176,3
BACK WRAP SNAP,L0696176,26
BOTTOM,L0696176,17
FLAP FACING SNAP PATCH,L0696176,6
FLAP TOP,L0696176,9
FLAP TOP BIDNING,L0696176,9
FRONT HANDLE TOP,L0696176,18
FRONT RIGHT ANCHOR TOP,L0696176,1
FRONT WRAP SNAP,L0696176,39
GUSSET,L0696176,23
GUSSET LEFT RIGHT ANCHOR,L0696176,1
HANDLE LEFT FACING,L0696176,22
HANDLE RIGHT FACING,L0696176,21
HANGTAG FACING,L0696176,6
HANGTAG TOP,L0696176,6
LONG SS MOOR KEEPER,L0696176,5
SHORT SS D RING ANCHOR,L0696176,7
SS ANCHOR,L0696176,0
SS FLOATING SOLID GLUE FILLER,L0696176,10
BACK HANDLE TOP,L0696178,15
BACK SLASH POCKET INTERIOR PATCH,L0696178,5
BACK SNAP PATCH,L0696178,3
BACK WRAP SNAP,L0696178,26
BOTTOM,L0696178,17
FLAP FACING SNAP PATCH,L0696178,6
FLAP TOP,L0696178,9
FLAP TOP BIDNING,L0696178,9
FRONT HANDLE TOP,L0696178,18
FRONT RIGHT ANCHOR TOP,L0696178,1
FRONT WRAP SNAP,L0696178,39
GUSSET,L0696178,23
GUSSET LEFT RIGHT ANCHOR,L0696178,1
HANDLE LEFT FACING,L0696178,22
HANDLE RIGHT FACING,L0696178,21
HANGTAG FACING,L0696178,6
HANGTAG TOP,L0696178,6
LONG SS MOOR KEEPER,L0696178,5
SHORT SS D RING ANCHOR,L0696178,7
SS ANCHOR,L0696178,0
SS FLOATING SOLID GLUE FILLER,L0696178,10
BACK HANDLE TOP,L0696180,15
BACK SLASH POCKET INTERIOR PATCH,L0696180,5
BACK SNAP PATCH,L0696180,3
BACK WRAP SNAP,L0696180,26
BOTTOM,L0696180,17
FLAP FACING SNAP PATCH,L0696180,6
FLAP TOP,L0696180,9
FLAP TOP BIDNING,L0696180,9
FRONT HANDLE TOP,L0696180,18
FRONT RIGHT ANCHOR TOP,L0696180,1
FRONT WRAP SNAP,L0696180,39
GUSSET,L0696180,23
GUSSET LEFT RIGHT ANCHOR,L0696180,1
HANDLE LEFT FACING,L0696180,22
HANDLE RIGHT FACING,L0696180,21
HANGTAG FACING,L0696180,6
HANGTAG TOP,L0696180,6
LONG SS MOOR KEEPER,L0696180,5
SHORT SS D RING ANCHOR,L0696180,7
SS ANCHOR,L0696180,0
SS FLOATING SOLID GLUE FILLER,L0696180,10
BACK HANDLE TOP,L0696182,15
BACK SLASH POCKET INTERIOR PATCH,L0696182,5
BACK SNAP PATCH,L0696182,3
BACK WRAP SNAP,L0696182,26
BOTTOM,L0696182,17
FLAP FACING SNAP PATCH,L0696182,6
FLAP TOP,L0696182,9
FLAP TOP BIDNING,L0696182,9
FRONT HANDLE TOP,L0696182,18
FRONT RIGHT ANCHOR TOP,L0696182,1
FRONT WRAP SNAP,L0696182,39
GUSSET,L0696182,23
GUSSET LEFT RIGHT ANCHOR,L0696182,1
HANDLE LEFT FACING,L0696182,22
HANDLE RIGHT FACING,L0696182,21
HANGTAG FACING,L0696182,6
HANGTAG TOP,L0696182,6
LONG SS MOOR KEEPER,L0696182,5
SHORT SS D RING ANCHOR,L0696182,7
SS ANCHOR,L0696182,0
SS FLOATING SOLID GLUE FILLER,L0696182,10
BACK HANDLE TOP,L0696184,15
BACK SLASH POCKET INTERIOR PATCH,L0696184,5
BACK SNAP PATCH,L0696184,3
BACK WRAP SNAP,L0696184,26
BOTTOM,L0696184,17
FLAP FACING SNAP PATCH,L0696184,6
FLAP TOP,L0696184,9
FLAP TOP BIDNING,L0696184,9
FRONT HANDLE TOP,L0696184,18
FRONT RIGHT ANCHOR TOP,L0696184,1
FRONT WRAP SNAP,L0696184,39
GUSSET,L0696184,23
GUSSET LEFT RIGHT ANCHOR,L0696184,1
HANDLE LEFT FACING,L0696184,22
HANDLE RIGHT FACING,L0696184,21
HANGTAG FACING,L0696184,6
HANGTAG TOP,L0696184,6
LONG SS MOOR KEEPER,L0696184,5
SHORT SS D RING ANCHOR,L0696184,7
SS ANCHOR,L0696184,0
SS FLOATING SOLID GLUE FILLER,L0696184,10
BACK HANDLE TOP,L0696186,15
BACK SLASH POCKET INTERIOR PATCH,L0696186,5
BACK SNAP PATCH,L0696186,3
BACK WRAP SNAP,L0696186,26
BOTTOM,L0696186,17
FLAP FACING SNAP PATCH,L0696186,6
FLAP TOP,L0696186,9
FLAP TOP BIDNING,L0696186,9
FRONT HANDLE TOP,L0696186,18
FRONT RIGHT ANCHOR TOP,L0696186,1
FRONT WRAP SNAP,L0696186,39
GUSSET,L0696186,23
GUSSET LEFT RIGHT ANCHOR,L0696186,1
HANDLE LEFT FACING,L0696186,22
HANDLE RIGHT FACING,L0696186,21
HANGTAG FACING,L0696186,6
HANGTAG TOP,L0696186,6
LONG SS MOOR KEEPER,L0696186,5
SHORT SS D RING ANCHOR,L0696186,7
SS ANCHOR,L0696186,0
SS FLOATING SOLID GLUE FILLER,L0696186,10
BACK HANDLE TOP,L0696188,15
BACK SLASH POCKET INTERIOR PATCH,L0696188,5
BACK SNAP PATCH,L0696188,3
BACK WRAP SNAP,L0696188,26
BOTTOM,L0696188,17
FLAP FACING SNAP PATCH,L0696188,6
FLAP TOP,L0696188,9
FLAP TOP BIDNING,L0696188,9
FRONT HANDLE TOP,L0696188,18
FRONT RIGHT ANCHOR TOP,L0696188,1
FRONT WRAP SNAP,L0696188,39
GUSSET,L0696188,23
GUSSET LEFT RIGHT ANCHOR,L0696188,1
HANDLE LEFT FACING,L0696188,22
HANDLE RIGHT FACING,L0696188,21
HANGTAG FACING,L0696188,6
HANGTAG TOP,L0696188,6
LONG SS MOOR KEEPER,L0696188,5
SHORT SS D RING ANCHOR,L0696188,7
SS ANCHOR,L0696188,0
SS FLOATING SOLID GLUE FILLER,L0696188,10
BACK HANDLE TOP,L0696190,15
BACK SLASH POCKET INTERIOR PATCH,L0696190,5
BACK SNAP PATCH,L0696190,3
BACK WRAP SNAP,L0696190,26
BOTTOM,L0696190,17
FLAP FACING SNAP PATCH,L0696190,6
FLAP TOP,L0696190,9
FLAP TOP BIDNING,L0696190,9
FRONT HANDLE TOP,L0696190,18
FRONT RIGHT ANCHOR TOP,L0696190,1
FRONT WRAP SNAP,L0696190,39
GUSSET,L0696190,23
GUSSET LEFT RIGHT ANCHOR,L0696190,1
HANDLE LEFT FACING,L0696190,22
HANDLE RIGHT FACING,L0696190,21
HANGTAG FACING,L0696190,6
HANGTAG TOP,L0696190,6
LONG SS MOOR KEEPER,L0696190,5
SHORT SS D RING ANCHOR,L0696190,7
SS ANCHOR,L0696190,0
SS FLOATING SOLID GLUE FILLER,L0696190,10
BACK HANDLE TOP,L09169692,15
BACK SLASH POCKET INTERIOR PATCH,L09169692,5
BACK SNAP PATCH,L09169692,3
BACK WRAP SNAP,L09169692,26
BOTTOM,L09169692,17
FLAP FACING SNAP PATCH,L09169692,6
FLAP TOP,L09169692,9
FLAP TOP BIDNING,L09169692,9
FRONT HANDLE TOP,L09169692,18
FRONT RIGHT ANCHOR TOP,L09169692,1
FRONT WRAP SNAP,L09169692,39
GUSSET,L09169692,23
GUSSET LEFT RIGHT ANCHOR,L09169692,1
HANDLE LEFT FACING,L09169692,22
HANDLE RIGHT FACING,L09169692,21
HANGTAG FACING,L09169692,6
HANGTAG TOP,L09169692,6
LONG SS MOOR KEEPER,L09169692,5
SHORT SS D RING ANCHOR,L09169692,7
SS ANCHOR,L09169692,0
SS FLOATING SOLID GLUE FILLER,L09169692,10
BACK HANDLE TOP,L09169696,15
BACK SLASH POCKET INTERIOR PATCH,L09169696,5
BACK SNAP PATCH,L09169696,3
BACK WRAP SNAP,L09169696,26
BOTTOM,L09169696,17
FLAP FACING SNAP PATCH,L09169696,6
FLAP TOP,L09169696,9
FLAP TOP BIDNING,L09169696,9
FRONT HANDLE TOP,L09169696,18
FRONT RIGHT ANCHOR TOP,L09169696,1
FRONT WRAP SNAP,L09169696,39
GUSSET,L09169696,23
GUSSET LEFT RIGHT ANCHOR,L09169696,1
HANDLE LEFT FACING,L09169696,22
HANDLE RIGHT FACING,L09169696,21
HANGTAG FACING,L09169696,6
HANGTAG TOP,L09169696,6
LONG SS MOOR KEEPER,L09169696,5
SHORT SS D RING ANCHOR,L09169696,7
SS ANCHOR,L09169696,0
SS FLOATING SOLID GLUE FILLER,L09169696,10
BACK HANDLE TOP,L09169698,15
BACK SLASH POCKET INTERIOR PATCH,L09169698,5
BACK SNAP PATCH,L09169698,3
BACK WRAP SNAP,L09169698,26
BOTTOM,L09169698,17
FLAP FACING SNAP PATCH,L09169698,6
FLAP TOP,L09169698,9
FLAP TOP BIDNING,L09169698,9
FRONT HANDLE TOP,L09169698,18
FRONT RIGHT ANCHOR TOP,L09169698,1
FRONT WRAP SNAP,L09169698,39
GUSSET,L09169698,23
GUSSET LEFT RIGHT ANCHOR,L09169698,1
HANDLE LEFT FACING,L09169698,22
HANDLE RIGHT FACING,L09169698,21
HANGTAG FACING,L09169698,6
HANGTAG TOP,L09169698,6
LONG SS MOOR KEEPER,L09169698,5
SHORT SS D RING ANCHOR,L09169698,7
SS ANCHOR,L09169698,0
SS FLOATING SOLID GLUE FILLER,L09169698,10
BACK HANDLE TOP,L09169716,15
BACK SLASH POCKET INTERIOR PATCH,L09169716,5
BACK SNAP PATCH,L09169716,3
BACK WRAP SNAP,L09169716,26
BOTTOM,L09169716,17
FLAP FACING SNAP PATCH,L09169716,6
FLAP TOP,L09169716,9
FLAP TOP BIDNING,L09169716,9
FRONT HANDLE TOP,L09169716,18
FRONT RIGHT ANCHOR TOP,L09169716,1
FRONT WRAP SNAP,L09169716,39
GUSSET,L09169716,23
GUSSET LEFT RIGHT ANCHOR,L09169716,1
HANDLE LEFT FACING,L09169716,22
HANDLE RIGHT FACING,L09169716,21
HANGTAG FACING,L09169716,6
HANGTAG TOP,L09169716,6
LONG SS MOOR KEEPER,L09169716,5
SHORT SS D RING ANCHOR,L09169716,7
SS ANCHOR,L09169716,0
